Checking,true
Savings,true
Visa,false
Checking,2016-03-28,Venmo,-1.00,leisure,true
Checking,2016-03-18,Venmo,-4.65,leisure,true
Checking,2016-03-16,So Cal Gas,-23.00,work,true
Checking,2016-03-15,Deposited Check #1236,500.00,work,true
Checking,2016-03-12,Robinhood,-30.00,leisure,true
Checking,2016-03-11,COCA COLA LOS ANGELES,-5.00,food,true
Checking,2016-03-10,LADWP,-47.86,bills,true
Checking,2016-03-09,RALPHS #0249,-45.80,food,true
Checking,2016-03-08,LA Live,-15.99,leisure,true
Checking,2016-03-06,Aeropostale Online,-20.00,clothes,true
Checking,2016-03-05,Uber Ride Los Angeles,-4.99,other,true
Savings,2016-03-05,ATM deposit,10.00,work,true
Savings,2016-03-06,Transfer to Checking,-5.00,work,true
Visa,2016-03-29,Subway,-6.50,food,false
Visa,2016-03-28,Venmo,1.00,leisure,false
Visa,2016-03-23,ATM Deposit,44.00,work,false
Visa,2016-03-22,Venmo,-1.54,leisure,false
Visa,2016-03-18,Venmo, 4.60,leisure,false
Visa,2016-03-16,So Cal Gas,17.00,work,false
Visa,2016-03-11,COCA COLA LOS ANGELES,5.00,food,false
Visa,2016-03-10,LADWP,-20.00,bills,false
Visa,2016-03-09,RALPHS #0249,45.80,food,false
Visa,2016-03-08,LA Live,-12.00,leisure,false
Visa,2016-03-06,Aeropostale Online,12.00,clothes,false
Visa,2016-03-05,Uber Ride Los Angeles,4.99,other,false
